,strategies,Runs,Total PnL,Avg Win Rate
0,adx_di_ema,1,360.21,63.59
1,adx_rsi_ema,1,-149.88,43.6
2,bb_rsi_bounce,1,-1504.82,30.56
3,breakout_retest,1,1263.77,50.73
4,cci_ema,1,1164.11,53.0
5,donchian_rsi,1,2125.2,56.89
6,ema_macd_rsi_confluence,1,820.75,45.54
7,ema_ribbon_pullback,1,4952.95,56.26
8,ema_rsi_cross,1,-288.26,32.84
9,ema_stoch_cross,1,516.96,54.19
10,ema_stochastic,1,-433.32,36.73
11,ema_stochastic_mtf,1,-222.11,37.2
12,engulfing_ema,1,1835.55,62.16
13,fib_ema_bounce,1,-720.52,42.15
14,fib_rsi_bounce,1,11.35,39.29
15,gap_fill,1,-9.5,0.0
16,h1_adx_m5_ema,1,361.47,59.5
17,h1_trend_m5_bb,1,-330.41,34.86
18,h1_trend_m5_ema_cross,1,488.8,57.32
19,h1_trend_m5_macd,1,923.02,57.59
20,h1_trend_m5_rsi,1,2333.06,58.68
21,h1_trend_m5_stoch,1,914.06,55.88
22,heikin_ashi_ema,1,2144.96,55.39
23,ichimoku_cloud_bounce,1,1280.04,46.3
24,ichimoku_cloud_break,1,1727.56,60.17
25,keltner_rsi,1,1613.99,56.27
26,london_ny_breakout,1,15.66,62.5
27,ma_ribbon_pullback,1,1316.96,46.45
28,macd_bb_breakout,1,209.49,55.42
29,macd_divergence,1,455.05,45.95
30,macd_ema_trend,1,1152.2,49.44
31,macd_histogram_div,1,301.12,43.5
32,marubozu_trend,1,3281.52,63.67
33,momentum_exhaustion,1,2093.18,62.57
34,morning_evening_star,1,239.1,68.22
35,parabolic_sar_ema,1,514.15,53.43
36,pin_bar_ema,1,204.15,43.66
37,rsi_bb_squeeze,1,-5.04,33.33
38,rsi_divergence,1,698.25,46.1
39,rsi_divergence_ema,1,-116.18,42.09
40,scalp_pullback,1,-168.58,21.35
41,stoch_bb_bounce,1,126.31,47.41
42,stoch_divergence,1,771.7,47.44
43,stoch_ema_trend,1,713.75,48.5
44,supertrend_rsi_ema,1,487.81,45.28
45,three_bar_reversal,1,1291.9,47.54
46,trend_mean_reversion,1,-655.11,26.51
47,trend_momentum_vol,1,1094.01,46.76
48,triple_confirm,1,748.13,45.38
49,tweezer_reversal,1,4287.03,59.3
50,williams_ema,1,687.28,49.68
