,strategy,Trades,Total PnL,Avg PnL,Long Trades,Win Rate
0,ema_ribbon_pullback,5571,4952.95,0.89,2952,56.3
1,tweezer_reversal,3919,4287.03,1.09,2073,59.3
2,marubozu_trend,2216,3281.52,1.48,1140,63.7
3,h1_trend_m5_rsi,1945,2334.06,1.2,1040,58.7
4,heikin_ashi_ema,2475,2144.96,0.87,1264,55.4
5,donchian_rsi,2315,2125.2,0.92,1107,56.9
6,momentum_exhaustion,1496,2093.18,1.4,725,62.6
7,engulfing_ema,1302,1834.55,1.41,464,62.1
8,ichimoku_cloud_break,1489,1727.56,1.16,760,60.2
9,keltner_rsi,1795,1613.99,0.9,870,56.3
10,ma_ribbon_pullback,7234,1316.96,0.18,3805,46.4
11,three_bar_reversal,4876,1291.9,0.26,2395,47.5
12,ichimoku_cloud_bounce,6898,1280.04,0.19,3571,46.3
13,breakout_retest,2994,1263.77,0.42,1440,50.7
14,cci_ema,1702,1164.11,0.68,834,53.0
15,macd_ema_trend,2943,1152.2,0.39,1420,49.4
16,trend_momentum_vol,6245,1094.01,0.18,3144,46.8
17,h1_trend_m5_macd,962,923.02,0.96,535,57.6
18,h1_trend_m5_stoch,970,914.06,0.94,508,55.9
19,ema_macd_rsi_confluence,7225,820.75,0.11,3542,45.5
20,stoch_divergence,2224,771.7,0.35,1031,47.4
21,triple_confirm,7043,748.13,0.11,3465,45.4
22,stoch_ema_trend,1968,712.75,0.36,976,48.5
23,rsi_divergence,2538,698.25,0.28,1256,46.1
24,williams_ema,1547,686.28,0.44,805,49.6
25,ema_stoch_cross,715,515.96,0.72,357,54.1
26,parabolic_sar_ema,904,514.15,0.57,453,53.4
27,h1_trend_m5_ema_cross,567,488.8,0.86,318,57.3
28,supertrend_rsi_ema,4556,487.81,0.11,0,45.3
29,macd_divergence,2026,455.05,0.22,1006,46.0
30,h1_adx_m5_ema,321,361.47,1.13,151,59.5
31,adx_di_ema,206,360.21,1.75,87,63.6
32,macd_histogram_div,3085,301.12,0.1,1492,43.5
33,morning_evening_star,129,239.1,1.85,68,68.2
34,macd_bb_breakout,249,209.49,0.84,122,55.4
35,pin_bar_ema,1253,204.15,0.16,642,43.7
36,stoch_bb_bounce,116,126.31,1.09,61,47.4
37,london_ny_breakout,16,15.66,0.98,4,62.5
38,fib_rsi_bounce,28,11.35,0.41,28,39.3
39,rsi_bb_squeeze,6,-5.04,-0.84,4,33.3
40,gap_fill,2,-9.5,-4.75,1,0.0
41,rsi_divergence_ema,796,-116.18,-0.15,411,42.1
42,adx_rsi_ema,4110,-149.88,-0.04,2071,43.6
43,scalp_pullback,89,-168.58,-1.89,41,21.3
44,ema_stochastic_mtf,664,-222.11,-0.33,323,37.2
45,ema_rsi_cross,134,-288.26,-2.15,61,32.8
46,h1_trend_m5_bb,763,-330.41,-0.43,395,34.9
47,ema_stochastic,911,-432.32,-0.47,409,36.8
48,trend_mean_reversion,611,-655.11,-1.07,330,26.5
49,fib_ema_bounce,5772,-720.52,-0.12,2753,42.2
50,bb_rsi_bounce,1862,-1504.82,-0.81,972,30.6
